Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2014-10-01,1894302.6928942292,2944826.3592517627,8392358.7627191
2014-11-01,1946342.9120946184,3025726.528911767,8622913.357430113
2014-12-01,1930749.4290545338,3001485.366155023,8553829.30633117
2015-01-01,1883883.1208852432,2928628.4039728716,8346196.770350396
2015-02-01,1989766.0831291138,3093230.8929948406,8815291.709265536
2015-03-01,1949812.0306250146,3031119.516912048,8638282.647357583
2015-04-01,1977775.7550907654,3074591.0873313355,8762170.771963395
2015-05-01,2003201.3897121628,3114117.0191238923,8874814.357549265
2015-06-01,1953013.0762127284,3036095.7667264133,8652464.289546385
2015-07-01,2006844.8072739686,3119780.967189856,8890955.847193852
2015-08-01,1884526.8056596806,2929629.057088091,8349048.4970451
2015-09-01,1826943.6019608933,2840111.92936693,8093936.731665827
2015-10-01,1992648.9856673926,3097712.5671315687,8828063.87734086
2015-11-01,1999932.3795465543,3109035.113607707,8860331.610831082
2015-12-01,1953741.0714761994,3037227.4864084483,8655689.538315512
2016-01-01,1867518.7990882802,2903188.918319527,8273697.660285326
2016-02-01,1865976.6053878567,2900791.470077958,8266865.255483227
2016-03-01,1981274.9845101023,3080030.884819765,8777673.46263173
2016-04-01,1999342.7223099873,3108118.450088365,8857719.243179983
2016-05-01,2033354.9500838926,3160992.843004125,9008404.14632068
2016-06-01,2029865.5282112397,3155568.292034692,8992944.906179368
2016-07-01,2114838.9729881277,3287665.470038005,9369404.083768452
2016-08-01,2117371.384779139,3291602.2817326854,9380623.467220118
2016-09-01,2106851.6725566476,3275248.651470351,9334017.822101796
2016-10-01,2080783.041409703,3234723.1364937327,9218525.55898101
2016-11-01,2157436.4174167616,3353886.184214653,9558124.206144396
2016-12-01,2188273.0648118863,3401823.914768882,9694740.286008567
2017-01-01,2240560.709488255,3483108.7246800717,9926391.05366451
2017-02-01,2328595.829452618,3619965.4914383194,10316414.41858468
2017-03-01,2321406.3815469504,3608788.990565204,10284562.895405956
2017-04-01,2354648.974999536,3660466.93296389,10431838.075610163
2017-05-01,2387879.6961587667,3712126.4190501054,10579060.65780797
2017-06-01,2391440.8679782096,3717662.5103427256,10594837.772857511
2017-07-01,2452496.6314518433,3812577.9757199567,10865334.07396321
2017-08-01,2459652.183099674,3823701.7824835554,10897035.426022215
2017-09-01,2496821.236470107,3881483.6821368,11061706.062835135
2017-10-01,2568340.1036950233,3992664.775938646,11378557.21566633
2017-11-01,2646843.320656366,4114703.531128618,11726351.242058475
2017-12-01,2665320.0503591755,4143426.9029876683,11808208.985812642
2018-01-01,2829927.160899346,4399320.198107442,12537470.43475089
2018-02-01,2727030.5105894883,4239360.140378642,12081605.800169704
2018-03-01,2641700.208763099,4106708.203070072,11703565.633228894
