Feature,Group,Importance
CPIMEDSL 6M Lag,Prices,0.000214767
CPIAPPSL 9M Lag,Prices,0.00021195521
GS5 12M Lag,Interest and Exchange Rates,0.00021150982
CLAIMSx 1M Lag,Labor Market,0.0002099577
RPI 1M Lag,Output and Income,0.00020743428
CLF16OV 9M Lag,Labor Market,0.00020582855
UEMP27OV 1M Lag,Labor Market,0.00020560154
UEMP15T26 1M Lag,Labor Market,0.00020297633
IPFPNSS 9M Lag,Output and Income,0.00020227015
CPIMEDSL,Prices,0.00020193851
CPIULFSL 12M Lag,Prices,0.000199582
S&P 500 9M Lag,Stock Market,0.00019856036
GS5 3M Lag,Interest and Exchange Rates,0.00019801827
UEMPLT5,Labor Market,0.00019495278
EXJPUSx 6M Lag,Interest and Exchange Rates,0.00019494355
UEMP15T26 6M Lag,Labor Market,0.00019362931
CE16OV 12M Lag,Labor Market,0.00019358571
MANEMP 6M Lag,Labor Market,0.00019293236
M1SL 1M Lag,Money and Credit,0.00019262818
HOUSTW 9M Lag,Housing,0.00019018477
CUSR0000SAD 6M Lag,Prices,0.00018447085
UEMP15OV 9M Lag,Labor Market,0.00018289404
CES0600000007 3M Lag,Labor Market,0.00018145826
IPCONGD 1M Lag,Output and Income,0.00018090621
INVEST 6M Lag,Money and Credit,0.00017948983
HWIURATIO 3M Lag,Labor Market,0.00017888226
CES3000000008 12M Lag,Labor Market,0.00017696826
T10YFFM 6M Lag,Interest and Exchange Rates,0.00017636469
CPIAUCSL 12M Lag,Prices,0.00017493317
WPSID62 3M Lag,Prices,0.00017137003
W875RX1 12M Lag,Output and Income,0.0001698805
BAA 12M Lag,Interest and Exchange Rates,0.00016869117
WPSID61,Prices,0.00016592638
MANEMP 3M Lag,Labor Market,0.00016431318
EXCAUSx 6M Lag,Interest and Exchange Rates,0.00016175529
CPIAPPSL 1M Lag,Prices,0.00016098336
AAAFFM 3M Lag,Interest and Exchange Rates,0.00015573217
WPSFD49207 6M Lag,Prices,0.00015436414
CMRMTSPLx 9M Lag,"Consumption, Orders and Inventories",0.0001535234
IPNCONGD 9M Lag,Output and Income,0.00015321493
INVEST 3M Lag,Money and Credit,0.0001529494
USFIRE 6M Lag,Labor Market,0.00015289591
HOUSTS 6M Lag,Housing,0.00014815772
DDURRG3M086SBEA 12M Lag,Prices,0.00014386469
USTRADE 12M Lag,Labor Market,0.00014214896
WPSFD49502 1M Lag,Prices,0.00014113013
ISRATIOx,"Consumption, Orders and Inventories",0.00014108632
DMANEMP,Labor Market,0.00014022019
EXJPUSx 9M Lag,Interest and Exchange Rates,0.00013837698
NDMANEMP 9M Lag,Labor Market,0.00013822052
TB3MS 12M Lag,Interest and Exchange Rates,0.00013752945
CLF16OV 3M Lag,Labor Market,0.00013717836
RPI 9M Lag,Output and Income,0.00013657715
IPDCONGD 3M Lag,Output and Income,0.00013547092
S&P 500 3M Lag,Stock Market,0.00013424635
IPFPNSS 1M Lag,Output and Income,0.00013344586
AAA,Interest and Exchange Rates,0.00013337604
DNDGRG3M086SBEA,Prices,0.00013266604
S&P 500 6M Lag,Stock Market,0.0001324007
M1SL 3M Lag,Money and Credit,0.00013193066
EXUSUKx 9M Lag,Interest and Exchange Rates,0.00012965243
IPMAT 1M Lag,Output and Income,0.00012856055
CPITRNSL 6M Lag,Prices,0.00012826093
WPSID62 1M Lag,Prices,0.00012761641
IPMAT,Output and Income,0.00012711604
IPMAT 3M Lag,Output and Income,0.00012640415
M2REAL 1M Lag,Money and Credit,0.00012547497
CUMFNS 12M Lag,Output and Income,0.00012524652
PCEPI 1M Lag,Prices,0.00012435736
IPNCONGD 1M Lag,Output and Income,0.00012205919
DPCERA3M086SBEA 3M Lag,"Consumption, Orders and Inventories",0.000121015495
IPFINAL 1M Lag,Output and Income,0.000120973
IPDMAT 3M Lag,Output and Income,0.000119438475
CUMFNS,Output and Income,0.00011894961
MANEMP 9M Lag,Labor Market,0.000118943804
DNDGRG3M086SBEA 12M Lag,Prices,0.000118575634
UEMP5TO14,Labor Market,0.00011790332
HOUSTMW 3M Lag,Housing,0.000117818556
CUSR0000SAC 9M Lag,Prices,0.00011745943
BOGMBASE 1M Lag,Money and Credit,0.00011602503
CONSPI,Money and Credit,0.00011523746
RPI 3M Lag,Output and Income,0.00011490445
W875RX1 1M Lag,Output and Income,0.00011201562
HWIURATIO,Labor Market,0.00011150532
IPFUELS 12M Lag,Output and Income,0.00011044439
EXSZUSx 1M Lag,Interest and Exchange Rates,0.000108117136
EXSZUSx 3M Lag,Interest and Exchange Rates,0.0001078191
OILPRICEx 1M Lag,Prices,0.00010778599
TB3SMFFM 12M Lag,Interest and Exchange Rates,0.000107492466
HWI 3M Lag,Labor Market,0.00010524163
CUSR0000SA0L2 9M Lag,Prices,0.00010518904
CUMFNS 6M Lag,Output and Income,0.00010327356
CLAIMSx 6M Lag,Labor Market,0.00010180601
USTRADE 6M Lag,Labor Market,0.000101475955
CE16OV 3M Lag,Labor Market,0.00010102081
BAA 1M Lag,Interest and Exchange Rates,0.00010038216
IPNCONGD 6M Lag,Output and Income,0.00010005216
CP3Mx 12M Lag,Interest and Exchange Rates,9.974898e-05
UEMPMEAN 3M Lag,Labor Market,9.9660814e-05
BOGMBASE 6M Lag,Money and Credit,9.902583e-05
CMRMTSPLx 1M Lag,"Consumption, Orders and Inventories",9.77714e-05
CES2000000008 3M Lag,Labor Market,9.7658914e-05
UEMP15T26 3M Lag,Labor Market,9.472209e-05
EXJPUSx 12M Lag,Interest and Exchange Rates,9.465421e-05
EXCAUSx 9M Lag,Interest and Exchange Rates,9.397174e-05
TOTRESNS,Money and Credit,9.365561e-05
AMDMNOx,"Consumption, Orders and Inventories",9.3246155e-05
GS1 3M Lag,Interest and Exchange Rates,9.279103e-05
UEMP5TO14 3M Lag,Labor Market,9.2458715e-05
CPIAUCSL,Prices,9.1637434e-05
IPBUSEQ 6M Lag,Output and Income,9.158911e-05
AAAFFM 6M Lag,Interest and Exchange Rates,9.069831e-05
OILPRICEx 9M Lag,Prices,9.018563e-05
RETAILx 9M Lag,"Consumption, Orders and Inventories",8.802494e-05
UEMP15OV 12M Lag,Labor Market,8.726157e-05
CPIAPPSL 12M Lag,Prices,8.7194945e-05
CLF16OV 6M Lag,Labor Market,8.667998e-05
CUSR0000SA0L2 12M Lag,Prices,8.665445e-05
CPIULFSL,Prices,8.6412714e-05
CUSR0000SAS 6M Lag,Prices,8.277314e-05
WPSID61 1M Lag,Prices,8.251364e-05
TB6MS 9M Lag,Interest and Exchange Rates,8.228128e-05
CPIAPPSL 3M Lag,Prices,8.1822654e-05
INDPRO 3M Lag,Output and Income,8.0121485e-05
CLF16OV,Labor Market,7.992846e-05
IPMANSICS 3M Lag,Output and Income,7.945122e-05
TB3MS 6M Lag,Interest and Exchange Rates,7.743678e-05
GS5 1M Lag,Interest and Exchange Rates,7.684104e-05
